ISO,NAME,Hazard,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
CYP,Cyprus,DR,3.709090909,4.172727273,5.1,3.709090909,1.390909091,0,0,0,0,0.927272727,4.172727273,4.172727273
CZE,Czech Republic,DR,0,0,3,2.61971831,2.323943662,2.028169014,1.816901408,0.971830986,0.802816901,0.887323944,0.76056338,0.169014085
DNK,Denmark,DR,0,0,1.333333333,4,2.666666667,1.333333333,1,0,0,0,0,0
DJI,Djibouti,DR,0,0,0,0,0,0,0,0,0,0,0,0
DMA,Dominica,DR,x,x,x,x,x,x,x,x,x,x,x,x
DOM,Dominican Republic,DR,0,0,0,2,1.333333333,1,1,1,1,1,1,0.333333333
ECU,Ecuador,DR,1.360544218,1.510204082,2,1.755102041,1.482993197,1.170068027,0.93877551,1.210884354,1.197278912,0.857142857,1.183673469,1.387755102
EGY,Egypt,DR,2.835211268,2.147887324,2.577464789,2.577464789,2.491549296,6.1,2.749295775,2.31971831,3.092957746,3.436619718,3.264788732,2.31971831
SLV,El Salvador,DR,0,0,0,1,0.916666667,0.166666667,0.083333333,0.138888889,0.083333333,0,0,0
GNQ,Equatorial Guinea,DR,0,0,0,0,0,0,0,0,0,0,0,0
ERI,Eritrea,DR,2.903225806,1.935483871,1.935483871,0.967741935,0,0.967741935,9.677419355,10,8.709677419,9.35483871,4.838709677,2.580645161
EST,Estonia,DR,0,0,0,0,0,0,0,0,0,0,0,0
ETH,Ethiopia,DR,0.110169492,0,0.622881356,1.563559322,2,1.86440678,1.584745763,1.093220339,0.63559322,0.453389831,0.326271186,0.190677966
FJI,Fiji,DR,0,0,0,0,0,0,0,0,0,0,0,0
FIN,Finland,DR,0,0,0,0,0,0,0,0,0,0,0,0
